epoch, roc_train, roc_test, acc_train, acc_test, keep_prob, learning_rate, reg_strength, wwidth
1000, 0.726632, 0.726632, 0.655899, 0.703911, 0.4279055875195461, 0.002098298557938694, 0.675158814817505, 30
1000, 0.420209, 0.420209, 0.428371, 0.385475, 0.5377090074339179, 6.202139883248033e-07, 2.686507718280979e-07, 10
1000, 0.62381, 0.62381, 0.589888, 0.597765, 0.7084206831759363, 3.23390012573916e-08, 0.022149318594078243, 13
1000, 0.547651, 0.547651, 0.691011, 0.715084, 0.9585064898837234, 7.170587069603757e-06, 3.1201625744820976e-10, 13
1000, 0.281278, 0.281278, 0.320225, 0.318436, 0.5513103829393897, 3.125627417409085e-08, 0.16568768453677987, 8
1000, 0.73051, 0.73051, 0.699438, 0.72067, 0.8228380644211977, 3.162711364889946e-05, 0.02312815179991731, 26
1000, 0.421509, 0.421509, 0.40309, 0.385475, 0.918382047536946, 2.262042143793896e-09, 0.19356484079354272, 37
1000, 0.552804, 0.552804, 0.542135, 0.530726, 0.9668361041821867, 2.708033660255933e-09, 0.0017512286286463952, 41
1000, 0.845707, 0.845707, 0.831461, 0.843575, 0.43961284786524946, 0.0044613668041184615, 2.1751265981439205e-06, 30
1000, 0.342262, 0.342262, 0.396067, 0.396648, 0.7456014622381606, 2.7613106241207466e-07, 0.003213807126426778, 25
1000, 0.622452, 0.622452, 0.661517, 0.642458, 0.9608128284721347, 1.6426891429034818e-05, 0.4083480723283132, 6
1000, 0.746478, 0.746478, 0.710674, 0.72067, 0.847681717883463, 3.4495490246422594e-05, 0.002055618325163358, 27
1000, 0.77675, 0.77675, 0.705056, 0.77095, 0.3581388781365368, 0.052165352193187596, 1.0529509974341985e-05, 16
1000, 0.832759, 0.832759, 0.814607, 0.804469, 0.9304115995431645, 0.00017673947830081142, 6.307332503647359e-09, 43
1000, 0.720041, 0.720041, 0.699438, 0.703911, 0.7285402347081715, 3.5695661180618376e-05, 0.0010405903230990975, 14
1000, 0.549777, 0.549777, 0.601124, 0.675978, 0.6297714368071473, 2.2384605083071285e-07, 0.011783750915492221, 27
1000, 0.472896, 0.472896, 0.408708, 0.329609, 0.5341818582788984, 1.0655373939852389e-10, 8.375037415092209e-09, 44
1000, 0.583266, 0.583266, 0.571629, 0.592179, 0.9548290484736182, 1.3295308634317255e-10, 0.005686921430394555, 5
1000, 0.64302, 0.64302, 0.601124, 0.675978, 0.6652517316788564, 0.08339290623233418, 0.3005988627045286, 13
1000, 0.845953, 0.845953, 0.792135, 0.821229, 0.5776710218142891, 0.012494381140231724, 5.349514058746992e-08, 2
1000, 0.698777, 0.698777, 0.68118, 0.664804, 0.8576756387196407, 1.1406349517355774e-05, 9.604028093589232e-05, 28
1000, 0.853843, 0.853843, 0.820225, 0.787709, 0.6250576710891618, 0.006471876159905372, 3.758072391266354e-08, 21
1000, 0.655849, 0.655849, 0.657303, 0.715084, 0.44265955276442165, 0.0676077827617539, 0.2464168681601296, 45
1000, 0.730434, 0.730434, 0.707865, 0.72067, 0.5317912944195091, 4.0001641738588815e-05, 0.0001293298733041639, 34
1000, 0.736057, 0.736057, 0.674157, 0.681564, 0.6587368790750727, 0.0015066403047560182, 0.14304361538460764, 48
1000, 0.554201, 0.554201, 0.601124, 0.675978, 0.255321915815751, 2.064787011417535e-07, 0.000899180712289587, 24
1000, 0.792669, 0.792669, 0.794944, 0.804469, 0.4783573028905981, 0.0002537824600955814, 6.318127001299667e-07, 5
1000, 0.665566, 0.665566, 0.669944, 0.675978, 0.43756715192378987, 6.530590751959834e-06, 4.360814041104406e-06, 43
1000, 0.848591, 0.848591, 0.804775, 0.77095, 0.41166376817706757, 0.0008471248504994388, 1.06971244366844e-09, 11
1000, 0.7479, 0.7479, 0.714888, 0.731844, 0.7646234315668574, 5.0595247090242926e-05, 8.53860000973666e-05, 27
1000, 0.455255, 0.455255, 0.408708, 0.329609, 0.8710639461495697, 2.2601429056528762e-10, 3.807773657939721e-08, 32
1000, 0.827289, 0.827289, 0.820225, 0.804469, 0.6984307246060923, 0.017391519092905736, 6.927174482271464e-10, 41
1000, 0.459433, 0.459433, 0.484551, 0.530726, 0.4886086993616403, 4.118058187808933e-09, 0.017108445364652895, 22
1000, 0.80406, 0.80406, 0.792135, 0.793296, 0.7938403861278873, 0.00012219581447621162, 1.578475560557473e-05, 43
1000, 0.72087, 0.72087, 0.692416, 0.659218, 0.2774920689981176, 2.9433658068332924e-05, 0.0019095961901589432, 16
1000, 0.65081, 0.65081, 0.601124, 0.675978, 0.2983067868668915, 3.992123700054688e-06, 0.00017418878353973492, 30
1000, 0.710575, 0.710575, 0.676966, 0.664804, 0.7064165169080241, 1.825837614380723e-05, 0.15870237541524648, 44
1000, 0.832835, 0.832835, 0.801966, 0.787709, 0.2812551947969946, 0.005382938353526177, 1.8392855823841006e-06, 29
1000, 0.469514, 0.469514, 0.398876, 0.324022, 0.9649418271645003, 1.9282887003715047e-10, 1.4884294315056478e-10, 36
1000, 0.472621, 0.472621, 0.398876, 0.324022, 0.5507012852211404, 2.2567819568213683e-10, 0.05586852319888443, 10
